,lesion_id,image_id,dx,dx_type,age,sex,localization,contrast_score,brightness_score,blur_score,noise_score,hair_density,contrast_norm,brightness_norm,blur_norm,noise_norm,hair_norm,CQI,quality_label
count,10015,10015,10015,10015,9958.0,10015,10015,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015
unique,7470,10015,7,4,,3,15,,,,,,,,,,,,3
top,HAM_0003789,ISIC_0027419,nv,histo,,male,back,,,,,,,,,,,,Fair
freq,6,1,6705,5340,,5406,2192,,,,,,,,,,,,9574
mean,,,,,51.863828077927295,,,28.037590876289634,156.55694203620496,79.23446023963068,1.4388108167378562,0.06926082616815518,0.2839188104175306,0.5728327360259776,0.01875906638891926,0.9086831394651135,0.9129054416354737,0.463474303571896,
std,,,,,16.968613692495364,,,11.358865230520511,19.232437088127956,124.96544459286417,0.6094691558937528,0.07061994180053667,0.14158265447325533,0.11203552124748245,0.0327357394856112,0.05365316520993766,0.08918995007177759,0.0401988003258801,
min,,,,,0.0,,,5.259408648101315,58.22232962962963,7.623581479163239,0.4015037037037037,0.0003,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.3101016113886641,
25%,,,,,40.0,,,19.81855446627,143.66941111111112,34.36978574537723,1.0842037037037038,0.021551851851851853,0.18147257406143721,0.4977584623824556,0.0070063910702696805,0.8896820881336922,0.8820819144557123,0.4364757015404105,
50%,,,,,50.0,,,26.041636378561087,156.4047111111111,49.24403692592592,1.291611111111111,0.04572962962962963,0.2590402217327266,0.571945938842411,0.010902825106705628,0.9216415148783275,0.9426243311005501,0.46043786260989805,
75%,,,,,65.0,,,34.16213449211128,169.47414074074072,89.46160096375172,1.6546518518518518,0.09366666666666666,0.36025822680882114,0.6480798346276055,0.02143815111924821,0.9399001318859032,0.9731598248699622,0.486457000203515,
max,,,,,85.0,,,85.48721107757316,229.8860740740741,3825.0245797914813,11.76092962962963,0.7920925925925926,1.0,1.0,0.9999999999999999,1.0,1.0,0.6909471617805404,
