,precision,recall,f1-score,support
akiec,0.0,0.0,0.0,49.0
bcc,0.0,0.0,0.0,77.0
bkl,0.3597122302158273,0.30303030303030304,0.32894736842105265,165.0
df,0.0,0.0,0.0,17.0
mel,0.0,0.0,0.0,167.0
nv,0.7259368111682586,0.9821073558648111,0.8348119983100971,1006.0
vasc,0.0,0.0,0.0,22.0
accuracy,0.6906187624750499,0.6906187624750499,0.6906187624750499,0.6906187624750499
macro avg,0.15509272019772657,0.18359109412787347,0.16625133810444995,1503.0
weighted avg,0.5253792082640583,0.6906187624750499,0.5948750406449976,1503.0
